acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.13,-9.57,1.86,-0.22,-0.14,0.05,STD
-1.18,-9.44,1.98,-0.03,-0.07,0.05,STD
-0.99,-9.79,1.48,-0.01,0.09,0.08,STD
-0.8,-9.62,1.6,-0.12,-0.01,0.1,STD
-0.81,-9.44,1.47,-0.06,-0.02,0.03,STD
-0.88,-9.66,1.47,-0.12,0.01,-0.05,STD
-0.95,-9.97,1.53,-0.1,-0.04,-0.03,STD
-0.72,-9.74,1.59,-0.21,0.05,-0.11,STD
-0.96,-9.61,1.9,-0.15,-0.06,-0.24,STD
-1.22,-9.46,1.98,-0.11,-0.27,-0.18,STD
-1.55,-9.72,1.69,-0.03,-0.02,-0.16,STD
-1.43,-9.79,1.44,-0.07,0.05,0.03,STD
-1.08,-9.65,1.59,-0.1,0.08,0.08,STD
-0.93,-9.66,1.51,-0.04,0.11,0.06,STD
-0.91,-9.56,1.4,-0.15,-0.03,0.05,STD
-0.86,-9.59,1.75,-0.09,0,0.01,STD
-1.02,-9.73,1.49,-0.1,-0.02,0.02,STD
-0.91,-9.64,1.76,-0.18,0.04,0.02,STD
-0.86,-9.7,1.83,-0.05,-0.01,0.01,STD
-0.95,-9.67,1.54,-0.12,-0.03,-0.02,STD
-1.02,-9.88,1.72,-0.08,-0.02,-0.05,STD
-1.07,-9.67,1.7,-0.12,-0.05,-0.01,STD
-0.99,-9.64,1.79,-0.05,0.01,-0.06,STD
-1.16,-9.66,1.67,-0.06,-0.02,-0.04,STD
-1.11,-9.51,1.62,-0.08,0.06,0.01,STD
-0.89,-9.77,1.5,-0.02,0.15,0.01,STD
-0.91,-9.52,1.42,-0.16,0.06,0,STD
-0.89,-9.62,1.65,-0.09,0.03,-0.05,STD
-0.96,-9.73,1.44,-0.12,0.01,-0.07,STD
-1.1,-9.7,1.78,-0.16,-0.09,-0.06,STD
-1.09,-9.67,1.79,-0.1,-0.05,-0.05,STD
-1.13,-9.85,1.74,-0.1,0.02,-0.05,STD
-1.18,-9.71,1.8,-0.11,-0.02,0,STD
-1.15,-9.58,1.96,-0.06,0.08,0.03,STD
-1.01,-9.68,1.53,-0.02,0.07,0.05,STD
-0.85,-9.71,1.45,-0.07,0.01,0.05,STD
-0.92,-9.57,1.4,-0.1,-0.02,-0.02,STD
-1.2,-9.52,1.45,-0.11,-0.07,0.04,STD
-0.81,-9.79,1.47,-0.12,0.06,0.05,STD
-0.68,-9.81,1.39,-0.16,-0.08,-0.03,STD
-0.81,-9.56,1.9,-0.23,-0.3,-0.11,STD
-1.11,-9.64,1.91,-0.06,-0.16,-0.15,STD
-1.29,-9.77,1.68,-0.12,-0.1,-0.1,STD
-1.05,-9.69,1.83,-0.09,-0.08,0,STD
-0.99,-9.65,1.52,-0.09,-0.02,-0.04,STD
-1.02,-9.67,1.63,-0.08,-0.02,0.01,STD
-1.02,-9.63,1.27,-0.08,-0.02,0.01,STD
-1.02,-9.59,1.48,-0.14,0.03,0.06,STD
-0.92,-9.77,1.25,-0.07,0.03,0.04,STD
-0.85,-9.71,1.43,-0.23,-0.03,0.07,STD
-0.87,-9.6,1.83,-0.14,-0.08,0.01,STD
-0.82,-9.82,1.56,-0.08,0.01,0,STD
-0.93,-9.75,1.68,-0.19,-0.09,-0.04,STD
-0.98,-9.64,1.81,-0.09,-0.07,-0.02,STD
-1.07,-9.7,1.52,-0.05,0.01,-0.05,STD
-0.98,-9.79,1.4,-0.08,-0.02,0.01,STD
-1.04,-9.7,1.41,-0.08,0.01,-0.01,STD
-0.93,-9.66,1.36,-0.1,0,0.01,STD
-0.97,-9.73,1.33,-0.09,0,0,STD
-0.93,-9.76,1.36,-0.12,0.01,-0.01,STD
-0.94,-9.63,1.52,-0.14,-0.01,-0.01,STD
-0.83,-9.7,1.67,-0.08,-0.02,-0.05,STD
-1.04,-9.65,1.56,-0.05,-0.08,-0.06,STD
-1.25,-9.72,1.3,-0.09,-0.08,0.02,STD
-0.83,-9.62,1.43,-0.12,0.2,0.01,STD
-0.91,-9.67,1.1,-0.14,-0.01,-0.02,STD
-1.08,-9.62,1.53,-0.19,-0.15,0,STD
-1.13,-9.76,1.36,-0.1,0.07,-0.03,STD
-1.1,-9.83,1.37,-0.16,0.05,0.02,STD
-0.94,-9.67,1.72,-0.11,0.03,0.02,STD
-0.89,-9.81,1.37,-0.09,0.04,-0.05,STD
-1.04,-9.74,1.69,-0.23,-0.07,-0.02,STD
-0.87,-9.72,1.59,-0.02,0.02,-0.04,STD
-1,-9.74,1.34,-0.09,0.02,-0.06,STD
-0.84,-9.75,1.36,-0.11,-0.06,-0.07,STD
-0.98,-9.64,1.3,-0.08,-0.05,-0.1,STD
-1.14,-9.69,1.28,-0.09,-0.09,-0.08,STD
-1.21,-9.78,1.3,-0.1,-0.04,0.01,STD
-0.86,-9.71,1.17,-0.12,0.28,0.04,STD
-1.02,-9.72,1.24,-0.13,0.05,-0.04,STD
-0.91,-9.69,1.3,-0.18,-0.22,0.08,STD
-0.89,-9.72,1.43,-0.12,-0.04,-0.02,STD
-0.84,-9.86,1.31,-0.05,-0.12,0.04,STD
-0.99,-9.83,1.37,-0.13,-0.24,0.03,STD
-1.02,-9.73,1.57,-0.12,-0.04,0.03,STD
-0.99,-9.72,1.38,0.01,-0.02,0.08,STD
-0.88,-9.71,1.15,-0.08,0.01,0.07,STD
-0.79,-9.67,1.21,-0.05,0.01,0.08,STD
